搜尋關鍵字,播放清單名稱,播放清單ID,播放清單連結
輕鬆 搖滾,輕鬆搖滾,0R21OUoONpgWhmJdJYHL7n,https://open.spotify.com/playlist/0R21OUoONpgWhmJdJYHL7n
輕鬆 搖滾,輕鬆+台式搖滾,1ifltHUk9JkBApncrICr7G,https://open.spotify.com/playlist/1ifltHUk9JkBApncrICr7G
輕鬆 嘻哈,chinese rnb ☁️,7gPJDy3cH5ApojyPzSQ34L,https://open.spotify.com/playlist/7gPJDy3cH5ApojyPzSQ34L
輕鬆 嘻哈,輕鬆又嘻哈的高級氛圍🖤,6zcxJJ1lSg8y6iueIPLddo,https://open.spotify.com/playlist/6zcxJJ1lSg8y6iueIPLddo
輕鬆 嘻哈,Chinese Soft Rap 華語輕饒舌,4jgdtBtJ5XBwvh7Sq984HM,https://open.spotify.com/playlist/4jgdtBtJ5XBwvh7Sq984HM
輕鬆 嘻哈,輕鬆的狀態,0Lh3AC4rIRKof12LGNa8k1,https://open.spotify.com/playlist/0Lh3AC4rIRKof12LGNa8k1
輕鬆 電子,專注工作(輕電子),5YuNJ70W5efb9CxiWS7zo9,https://open.spotify.com/playlist/5YuNJ70W5efb9CxiWS7zo9
輕鬆 電子,輕鬆電子,0D9jjfIPz6BHFBAgdfQ8yN,https://open.spotify.com/playlist/0D9jjfIPz6BHFBAgdfQ8yN
輕鬆 電子,港式MK歌 & Remix,4qFy0XSpgLqpmiE7XERnIx,https://open.spotify.com/playlist/4qFy0XSpgLqpmiE7XERnIx
輕鬆 古典,綠鋼琴／綠森林／古典鋼琴／現代鋼琴／助眠樂曲,1XNQrrbUPfdyGzSkdwDSqK,https://open.spotify.com/playlist/1XNQrrbUPfdyGzSkdwDSqK
輕鬆 古典,放輕鬆，聽古典 Classical Chill,1GvDXtnKxOyIhph7CUTFMP,https://open.spotify.com/playlist/1GvDXtnKxOyIhph7CUTFMP
輕鬆 古典,寶寶睡眠鋼琴 輕柔旋律入夢鄉 Babe Sleep Piano Lullaby with Soothing Melody,6uY9t0E69Okxx61WRbEmcA,https://open.spotify.com/playlist/6uY9t0E69Okxx61WRbEmcA
輕鬆 古典,貴族音樂古典  睡眠導入舒心大提琴: 鋼琴放鬆輕聽,70Srko2ljmB29ZmALeEsy2,https://open.spotify.com/playlist/70Srko2ljmB29ZmALeEsy2
輕鬆 藍調,國語兒歌,4R2qiFyK1slDblZx4bHN7o,https://open.spotify.com/playlist/4R2qiFyK1slDblZx4bHN7o
輕鬆 藍調,#4 Ocean Breeze/Music for better sleep,23TlETlWrojZvlAHSnYEMP,https://open.spotify.com/playlist/23TlETlWrojZvlAHSnYEMP
輕鬆 舞曲,Bossa Nova/慵懒风情,16r2jV9fIrAywM18J6gxo1,https://open.spotify.com/playlist/16r2jV9fIrAywM18J6gxo1
輕鬆 舞曲,輕鬆不插電,6lqiAAzdUs1LUBqcoJSRXB,https://open.spotify.com/playlist/6lqiAAzdUs1LUBqcoJSRXB
輕鬆 舞曲,陳老師的輕鬆舞曲,7iQsxLxlwJIi6MhQ0rp46V,https://open.spotify.com/playlist/7iQsxLxlwJIi6MhQ0rp46V
輕鬆 舞曲,港式MK歌 & Remix,4qFy0XSpgLqpmiE7XERnIx,https://open.spotify.com/playlist/4qFy0XSpgLqpmiE7XERnIx
輕鬆 靈魂,#1 Floating Slumber / Music for better sleep,3L0auc8C7T3NMxev9ue2sh,https://open.spotify.com/playlist/3L0auc8C7T3NMxev9ue2sh
輕鬆 靈魂,秋日早晨的輕鬆爵士與靈魂,5tSk1lxSgqFdVyni6fHQKZ,https://open.spotify.com/playlist/5tSk1lxSgqFdVyni6fHQKZ
輕鬆 鋼琴,華語流行 鋼琴純音樂 C-POP Piano Cover,43Gw1bW0AzdnQy2bYd255S,https://open.spotify.com/playlist/43Gw1bW0AzdnQy2bYd255S
輕鬆 鋼琴,鋼琴輕音樂：迪士尼動畫精選 Disney Piano Music for Relaxtion,5tOOcPdQCZk2lqvfH03yX4,https://open.spotify.com/playlist/5tOOcPdQCZk2lqvfH03yX4
輕鬆 鋼琴,輕音樂 睡眠音樂  鋼琴音樂 Piano Sleep Music,26WpufxOKwrupqN5MNBnSF,https://open.spotify.com/playlist/26WpufxOKwrupqN5MNBnSF
輕鬆 鋼琴,咖啡廳音樂 Relaxing Coffee Music BGM,2pR8oELXQ2GjluBbPNzdao,https://open.spotify.com/playlist/2pR8oELXQ2GjluBbPNzdao
輕鬆 鋼琴,睡眠 放鬆催眠旋律 療癒 純音樂 鋼琴曲 Sleepy Melody Before Bedtime,5ItLGUQo4uJdWNyP7KMM8R,https://open.spotify.com/playlist/5ItLGUQo4uJdWNyP7KMM8R
輕鬆 環境音樂,寶寶睡眠鋼琴 輕柔旋律入夢鄉 Babe Sleep Piano Lullaby with Soothing Melody,6uY9t0E69Okxx61WRbEmcA,https://open.spotify.com/playlist/6uY9t0E69Okxx61WRbEmcA
輕鬆 環境音樂,咖啡廳音樂,3INRTaUTylsbHfY1VSnWUV,https://open.spotify.com/playlist/3INRTaUTylsbHfY1VSnWUV
輕鬆 環境音樂,寶寶睡眠鋼琴 輕柔旋律入夢鄉 Babe Sleep Piano Lullaby with Soothing Melody,5WaBhS38CQhBzziDtvfJ1x,https://open.spotify.com/playlist/5WaBhS38CQhBzziDtvfJ1x
輕鬆 獨立音樂,Taiwan Indie Radio 台灣硬地電台 Chill R&B Laid-back groovy 好聽 獨立 地下 樂團 臥室 音樂 窮苦 哀傷 文青 輕音樂 輕鬆開車 金曲 金音精選 ,62iAKtAm5wOXLY9hQSoAf3,https://open.spotify.com/playlist/62iAKtAm5wOXLY9hQSoAf3
放鬆 搖滾,孤獨搖滾！ OP ED OST,3kUiX4VR4971ukNjAegCuG,https://open.spotify.com/playlist/3kUiX4VR4971ukNjAegCuG
放鬆 搖滾,HappyRuff 狗-放鬆軟搖,2heLW56kYWyjpKAEupQ2yl,https://open.spotify.com/playlist/2heLW56kYWyjpKAEupQ2yl
放鬆 搖滾,好像有點油又不太油,4V0JdCmD48qj17r2o4S6yY,https://open.spotify.com/playlist/4V0JdCmD48qj17r2o4S6yY
放鬆 搖滾,KTV必點歌單 獨立/搖滾/抒情,1sDGBo68A87F4IUP6Iphc0,https://open.spotify.com/playlist/1sDGBo68A87F4IUP6Iphc0
放鬆 搖滾,⛺️凹豆咖快看！ 露營放鬆的⚡️鄉村搖滾樂 (2),3v7gEvpa38mxy5vFgT3U5o,https://open.spotify.com/playlist/3v7gEvpa38mxy5vFgT3U5o
放鬆 嘻哈,大嘻哈時代2,2OiljIZqhGn82aNTkBQdQB,https://open.spotify.com/playlist/2OiljIZqhGn82aNTkBQdQB
放鬆 嘻哈,chinese rnb ☁️,7gPJDy3cH5ApojyPzSQ34L,https://open.spotify.com/playlist/7gPJDy3cH5ApojyPzSQ34L
放鬆 嘻哈,HIP-HOP 瘋嘻哈,7iUxqpNMoJ1pGhKLgwh2jk,https://open.spotify.com/playlist/7iUxqpNMoJ1pGhKLgwh2jk
放鬆 嘻哈,K-HIPHOP (korean rap),1tdi78egHydNAeNwCggJ0Q,https://open.spotify.com/playlist/1tdi78egHydNAeNwCggJ0Q
放鬆 嘻哈,"中文融合音樂 (Chinese - Fussion) ,爵士,嘻哈,放客,饒舌,迪斯可,獨立音樂,9m88,吳卓源,異鄉人,J-Sheon",0SgsbUJdpRXdz3Tfr7iiZE,https://open.spotify.com/playlist/0SgsbUJdpRXdz3Tfr7iiZE
放鬆 電子,心震えるエレクトロニカ,7u9cJbPuMbkmlNyOPzRCEj,https://open.spotify.com/playlist/7u9cJbPuMbkmlNyOPzRCEj
放鬆 電子,電子放鬆 夏日,2xKnTFdDINRuI0ekJL9ycZ,https://open.spotify.com/playlist/2xKnTFdDINRuI0ekJL9ycZ
放鬆 電子,慢搖 Downtempo,68m7VUEJqNJdYk9nQubmqF,https://open.spotify.com/playlist/68m7VUEJqNJdYk9nQubmqF
放鬆 電子, (電子放鬆)Indie Electro Relax ,216GtEpZNi87G1tdakSHge,https://open.spotify.com/playlist/216GtEpZNi87G1tdakSHge
放鬆 電子,DEEP HOUSE COMERCIAL,0HlgJNgqmdWBauk85aHGo9,https://open.spotify.com/playlist/0HlgJNgqmdWBauk85aHGo9
放鬆 民謠,柔美豎琴音 恬適睡眠 Healing Harp Melody to Sleep,3TlrtrCCQSwYEciPUFA6Cy,https://open.spotify.com/playlist/3TlrtrCCQSwYEciPUFA6Cy
放鬆 爵士,渡假放鬆輕爵士 Jazz & Bossa Vacation Music,0Udg4PK527sPTsJylq0q2X,https://open.spotify.com/playlist/0Udg4PK527sPTsJylq0q2X
放鬆 爵士,Bossa Nova / 慵懒风情,16r2jV9fIrAywM18J6gxo1,https://open.spotify.com/playlist/16r2jV9fIrAywM18J6gxo1
放鬆 爵士,咖啡廳音樂 Relaxing Coffee Music BGM,2pR8oELXQ2GjluBbPNzdao,https://open.spotify.com/playlist/2pR8oELXQ2GjluBbPNzdao
放鬆 爵士,c'est la vie 香榭咖啡館,1FwqaXHURH4cfO8yFV8hj1,https://open.spotify.com/playlist/1FwqaXHURH4cfO8yFV8hj1
放鬆 爵士,咖啡館音樂–放鬆鋼琴爵士樂 (2),35wyGloX7qcWbJ6fJFbPKP,https://open.spotify.com/playlist/35wyGloX7qcWbJ6fJFbPKP
放鬆 藍調,孫燕姿AUT NIHILO 就在日落以後巡迴演唱會 STEFANIE SUN YANZI 孙燕姿就在日落以后,3ngRXxtvapmagiVu9xBJ0J,https://open.spotify.com/playlist/3ngRXxtvapmagiVu9xBJ0J
放鬆 藍調,周杰倫鋼琴曲純音樂 Jay Chou Piano Instrumental Collection,3flvKsF98ffXbofDaniZbk,https://open.spotify.com/playlist/3flvKsF98ffXbofDaniZbk
放鬆 藍調,鋼琴.靜心Piano Peace,5i74RPYDbNJqf0KtDUa2G2,https://open.spotify.com/playlist/5i74RPYDbNJqf0KtDUa2G2
放鬆 藍調,艾奧迪 Ludovico Einaudi 名曲精選,6KRxzAzfXg9ND4Xzvza3I6,https://open.spotify.com/playlist/6KRxzAzfXg9ND4Xzvza3I6
放鬆 藍調,周傳雄＋王傑＋張信哲＋林隆璇＋薛岳＋李壽全＋鍾鎮濤,6LugHVQ9S2bVyAZKTMwUUX,https://open.spotify.com/playlist/6LugHVQ9S2bVyAZKTMwUUX
放鬆 雷鬼,HappyRuff 狗-放鬆雷鬼,00lGp6463dKIZklXfIXyww,https://open.spotify.com/playlist/00lGp6463dKIZklXfIXyww
放鬆 雷鬼,Happy Ruff 狗-放鬆雷鬼 vol.2,2SyCBAYzdbkcXFIr6yMqsr,https://open.spotify.com/playlist/2SyCBAYzdbkcXFIr6yMqsr
放鬆 雷鬼,雷鬼或放鬆,0xAqyKPFFgU0qa9LPzrBwY,https://open.spotify.com/playlist/0xAqyKPFFgU0qa9LPzrBwY
放鬆 舞曲,最好聽粵語廣東歌曲 Best Cantonese Songs,2v0mxzm6LCcmBVqRPwzvdM,https://open.spotify.com/playlist/2v0mxzm6LCcmBVqRPwzvdM
放鬆 舞曲,Bossa Nova/慵懒风情,16r2jV9fIrAywM18J6gxo1,https://open.spotify.com/playlist/16r2jV9fIrAywM18J6gxo1
放鬆 舞曲,輕鬆不插電,6lqiAAzdUs1LUBqcoJSRXB,https://open.spotify.com/playlist/6lqiAAzdUs1LUBqcoJSRXB
放鬆 舞曲,開店 迪斯可 放可 舞曲,1Md6oSrOXbSpplTy9UgLDh,https://open.spotify.com/playlist/1Md6oSrOXbSpplTy9UgLDh
放鬆 舞曲,社交舞曲,47K9RAhNcfkXE5gurJNV87,https://open.spotify.com/playlist/47K9RAhNcfkXE5gurJNV87
放鬆 鄉村,⛺️凹豆咖快看！ 露營放鬆的⚡️鄉村搖滾樂 (2),3v7gEvpa38mxy5vFgT3U5o,https://open.spotify.com/playlist/3v7gEvpa38mxy5vFgT3U5o
放鬆 鄉村,鄉村世間情 Country Sounds,2n7UIQEHuRlKkBWmuBiafe,https://open.spotify.com/playlist/2n7UIQEHuRlKkBWmuBiafe
放鬆 靈魂,靈魂巨人泰迪 Teddy Swims | 必聽精選 Hot Hits,69oMapyQM7KArMPnk9KHoS,https://open.spotify.com/playlist/69oMapyQM7KArMPnk9KHoS
放鬆 靈魂,鋼琴.靜心Piano Peace,5i74RPYDbNJqf0KtDUa2G2,https://open.spotify.com/playlist/5i74RPYDbNJqf0KtDUa2G2
放鬆 靈魂,慵懶放鬆靈魂樂,03JRdTwFJ32eKSfRwGUwWc,https://open.spotify.com/playlist/03JRdTwFJ32eKSfRwGUwWc
放鬆 靈魂,#1 Floating Slumber /Music for better sleep,3L0auc8C7T3NMxev9ue2sh,https://open.spotify.com/playlist/3L0auc8C7T3NMxev9ue2sh
放鬆 靈魂,婚禮音樂 - 中文,55lO5kJPvx8GCfOHbaMkec,https://open.spotify.com/playlist/55lO5kJPvx8GCfOHbaMkec
放鬆 鋼琴,睡眠音樂 深度睡眠 鋼琴音樂 白噪音 讓人放鬆 舒眠 紓壓 純音樂 Soothing Melody for Deep Sleep,7Dz8h8C99zCSwP7u7x58Zk,https://open.spotify.com/playlist/7Dz8h8C99zCSwP7u7x58Zk
放鬆 鋼琴,咖啡廳音樂 Relaxing Coffee Music BGM,2pR8oELXQ2GjluBbPNzdao,https://open.spotify.com/playlist/2pR8oELXQ2GjluBbPNzdao
放鬆 鋼琴,鋼琴.靜心Piano Peace,5i74RPYDbNJqf0KtDUa2G2,https://open.spotify.com/playlist/5i74RPYDbNJqf0KtDUa2G2
放鬆 鋼琴,睡眠 放鬆催眠旋律 療癒 純音樂 鋼琴曲 Sleepy Melody Before Bedtime,5ItLGUQo4uJdWNyP7KMM8R,https://open.spotify.com/playlist/5ItLGUQo4uJdWNyP7KMM8R
放鬆 鋼琴,1990-2022日本動漫歌曲合輯,2Kcbcp6bPnKoioHMHerIQr,https://open.spotify.com/playlist/2Kcbcp6bPnKoioHMHerIQr
放鬆 吉他,2024-2025 影視歌曲 | 陸劇 電影 OST,7limWovzoRz3Ew6vWAPuMw,https://open.spotify.com/playlist/7limWovzoRz3Ew6vWAPuMw
放鬆 吉他,動畫歌曲*咒迴/鬼滅/火影/迪士尼/吉卜力/巨人/獵人/伍六七/天官/肌肉魔法使/我推の子/怪獸8號/hazbin...*,23RPjb4FHhD0d5lg30b0mB,https://open.spotify.com/playlist/23RPjb4FHhD0d5lg30b0mB
放鬆 吉他,轻柔吉他,4BVtb4tbsCYSt9wKIIbeFb,https://open.spotify.com/playlist/4BVtb4tbsCYSt9wKIIbeFb
放鬆 吉他,(原曲) 乐队的夏天 第一季 | The Big Band 1 | 樂隊的夏天 第一季,5DdWaIgKu0CfasPLX8Y6ml,https://open.spotify.com/playlist/5DdWaIgKu0CfasPLX8Y6ml
放鬆 吉他,スタジオ ジブリ STUDIO GHIBLI,5kqPgrVAOfk9Wz6kp6C0yC,https://open.spotify.com/playlist/5kqPgrVAOfk9Wz6kp6C0yC
放鬆 環境音樂,寶寶潛能開發音樂 胎教古典音樂  Baby Brain Development Music &  Pregnancy Music,5jDPDRS4XaqwecgrsdpFrO,https://open.spotify.com/playlist/5jDPDRS4XaqwecgrsdpFrO
悲傷 流行,任然好聽歌,2cUgJibLVRJny5waoWfoBL,https://open.spotify.com/playlist/2cUgJibLVRJny5waoWfoBL
悲傷 流行,伤心情歌,414033tgD6CrHz2CYF9XG9,https://open.spotify.com/playlist/414033tgD6CrHz2CYF9XG9
悲傷 流行,悲傷時刻到來,0xMenxm9ky4TGunC5XJJSx,https://open.spotify.com/playlist/0xMenxm9ky4TGunC5XJJSx
悲傷 搖滾,悲傷搖滾,3CVvRIZVGb1qt5F9DeicRK,https://open.spotify.com/playlist/3CVvRIZVGb1qt5F9DeicRK
悲傷 電子,原子邦妮電子迷幻悲傷歌單,50nNhsn2VDAbY7jKSqBXiG,https://open.spotify.com/playlist/50nNhsn2VDAbY7jKSqBXiG
悲傷 民謠,麻油葉的宇宙,2HUgfTQyk89tXSLexqgJ17,https://open.spotify.com/playlist/2HUgfTQyk89tXSLexqgJ17
悲傷 古典,Styling #2(神聖、憂傷、古典),61C9dXylG8bNRxlbFhxvqx,https://open.spotify.com/playlist/61C9dXylG8bNRxlbFhxvqx
悲傷 藍調,[1小時串燒] 鐵肺歌姬歌后-A-Lin/戴愛玲/鄧紫棋/陳芳語/彭佳慧/艾怡良/張若凡/摯友、空港、愛你、有一種悲傷、相見恨晚、走在紅毯那一天、FlyAway,5u17fqXp2nmF7nKF4GLCBx,https://open.spotify.com/playlist/5u17fqXp2nmF7nKF4GLCBx
悲傷 藍調,六年級愛情歌,5UUyHVtfu28RDtnS6uxpMX,https://open.spotify.com/playlist/5UUyHVtfu28RDtnS6uxpMX
悲傷 藍調,iX1-TWC 夢幻女聲,5AbWuuhXbmtefinBXjb2VI,https://open.spotify.com/playlist/5AbWuuhXbmtefinBXjb2VI
悲傷 R&B,《我的完美秘書》韓劇原聲帶,2uHY20E80YMjN9J6pcIUtO,https://open.spotify.com/playlist/2uHY20E80YMjN9J6pcIUtO
悲傷 R&B,英文抒情R&B,5PbJPOYZclXdzcvD22jq4P,https://open.spotify.com/playlist/5PbJPOYZclXdzcvD22jq4P
悲傷 R&B,任然好聽歌,2cUgJibLVRJny5waoWfoBL,https://open.spotify.com/playlist/2cUgJibLVRJny5waoWfoBL
悲傷 重金屬,😕 秒哭emo歌单,2C6ZhaaFawulwECyZm0arY,https://open.spotify.com/playlist/2C6ZhaaFawulwECyZm0arY
悲傷 重金屬,深夜EMO歌單😭,1tO4QBBNOzxWzI1Ip9FQ0l,https://open.spotify.com/playlist/1tO4QBBNOzxWzI1Ip9FQ0l
悲傷 靈魂,林夕：哥哥字傳,1qXorycOWULwQg2y1W4Okt,https://open.spotify.com/playlist/1qXorycOWULwQg2y1W4Okt
悲傷 獨立音樂,😕 秒哭emo歌单,2C6ZhaaFawulwECyZm0arY,https://open.spotify.com/playlist/2C6ZhaaFawulwECyZm0arY
悲傷 獨立音樂,獨立樂團不用滑,3jH7xQn0Ygl0E24RsMV5ay,https://open.spotify.com/playlist/3jH7xQn0Ygl0E24RsMV5ay
悲傷 獨立音樂,深夜EMO歌單😭,1tO4QBBNOzxWzI1Ip9FQ0l,https://open.spotify.com/playlist/1tO4QBBNOzxWzI1Ip9FQ0l
悲傷 獨立音樂,失戀必聽秒哭歌單,4UqVrEIurEsuy7H0Sq6qyw,https://open.spotify.com/playlist/4UqVrEIurEsuy7H0Sq6qyw
悲傷 獨立音樂,日文抒情歌單,7GRCeVgldL7pmUXW2TGHcn,https://open.spotify.com/playlist/7GRCeVgldL7pmUXW2TGHcn
快樂 流行,2025流行英文歌單,4fkb8VqBPKsiVp4Zwzjl1U,https://open.spotify.com/playlist/4fkb8VqBPKsiVp4Zwzjl1U
快樂 流行,最好聽粵語廣東歌曲 Best Cantonese Songs,2v0mxzm6LCcmBVqRPwzvdM,https://open.spotify.com/playlist/2v0mxzm6LCcmBVqRPwzvdM
快樂 流行,流行台語(不定時更新),1mwRjz8Ao9XFb8r6jGUGag,https://open.spotify.com/playlist/1mwRjz8Ao9XFb8r6jGUGag
快樂 搖滾,搖滾生日快樂歌,7KAuBCrcZ5CA390yDn3xbX,https://open.spotify.com/playlist/7KAuBCrcZ5CA390yDn3xbX
快樂 搖滾,台灣獨立樂團,0Ol0bu38sE7QozcRFnvfbM,https://open.spotify.com/playlist/0Ol0bu38sE7QozcRFnvfbM
快樂 搖滾,Taiwanese Bands,1ZbgXWRpYTcbfsZbGbpVfF,https://open.spotify.com/playlist/1ZbgXWRpYTcbfsZbGbpVfF
快樂 搖滾,ㄆㄎ,1uufEBhvJVuYhkOL0fxM3i,https://open.spotify.com/playlist/1uufEBhvJVuYhkOL0fxM3i
快樂 搖滾,不搖滾會死,1f6HtkIhgJxjh97cfeaY2J,https://open.spotify.com/playlist/1f6HtkIhgJxjh97cfeaY2J
快樂 嘻哈,炸音響快歌,6pI4TLcpMB9x4EBfLvA4oz,https://open.spotify.com/playlist/6pI4TLcpMB9x4EBfLvA4oz
快樂 嘻哈,高端渣男開車把妹歌單,0MOz0wi0RJgrBDRQ3vrzo5,https://open.spotify.com/playlist/0MOz0wi0RJgrBDRQ3vrzo5
快樂 嘻哈,上課high歌,5hFH9k8Sz1RgwizVZwnxmB,https://open.spotify.com/playlist/5hFH9k8Sz1RgwizVZwnxmB
快樂 嘻哈,我的快樂嘻哈,2pTsYFhdLVxpIuYsqvVA5z,https://open.spotify.com/playlist/2pTsYFhdLVxpIuYsqvVA5z
快樂 電子,輕快節奏 - 電子音樂,2q5yr3KCibKLOC5WWLzN2D,https://open.spotify.com/playlist/2q5yr3KCibKLOC5WWLzN2D
快樂 電子,Psychedelic 快節奏大麻迷幻電子音樂 專注工作 ,7Kxo7JP8nx81BnmVgaHpBF,https://open.spotify.com/playlist/7Kxo7JP8nx81BnmVgaHpBF
快樂 電子,緩拍 電子音樂 電音 動感音樂,0RgES7AcrYAduoSxDzamu4,https://open.spotify.com/playlist/0RgES7AcrYAduoSxDzamu4
快樂 電子,Contemporary classical music,0qGS5jIHjshFxpUuHYDOlZ,https://open.spotify.com/playlist/0qGS5jIHjshFxpUuHYDOlZ
快樂 電子,Hip Hop Luv(嘻哈寶典談戀愛),7xaxlv2xZDEUlsBpulbXgT,https://open.spotify.com/playlist/7xaxlv2xZDEUlsBpulbXgT
快樂 民謠,Rock-迷幻搖滾 Psychedelic rock,7Fuee82KoaFccwGqZ3hm3i,https://open.spotify.com/playlist/7Fuee82KoaFccwGqZ3hm3i
快樂 民謠,民謠-搖滾-快樂,6aS43tLuNkoGgv089lyCF0,https://open.spotify.com/playlist/6aS43tLuNkoGgv089lyCF0
快樂 古典,上班舒心輕音樂古典 Easy Listening Classical Music for Office Working,5JWkQhhVhuTlb11ugb2OET,https://open.spotify.com/playlist/5JWkQhhVhuTlb11ugb2OET
快樂 古典,寶寶睡眠鋼琴 輕柔旋律入夢鄉 Babe Sleep Piano Lullaby with Soothing Melody,6uY9t0E69Okxx61WRbEmcA,https://open.spotify.com/playlist/6uY9t0E69Okxx61WRbEmcA
快樂 古典,輕快古典音樂,3jnPrFaq5FaOqVwdmE0yxZ,https://open.spotify.com/playlist/3jnPrFaq5FaOqVwdmE0yxZ
快樂 古典,DG古典．百年經典,69mMioQK1XQn8eBGaqH91Q,https://open.spotify.com/playlist/69mMioQK1XQn8eBGaqH91Q
快樂 古典,我是遺物整理師:韓可魯的音樂播放清單,5rb38vY9MYa6z7LZyvlDkx,https://open.spotify.com/playlist/5rb38vY9MYa6z7LZyvlDkx
快樂 爵士,爵士小酒館,6LX7rhdp7WRa2g9NqW2cL0,https://open.spotify.com/playlist/6LX7rhdp7WRa2g9NqW2cL0
快樂 爵士,Bossa Nova｜慵懒风情,16r2jV9fIrAywM18J6gxo1,https://open.spotify.com/playlist/16r2jV9fIrAywM18J6gxo1
快樂 爵士,渡假放鬆輕爵士 Jazz & Bossa Vacation Music,0Udg4PK527sPTsJylq0q2X,https://open.spotify.com/playlist/0Udg4PK527sPTsJylq0q2X
快樂 爵士,c'est la vie 香榭咖啡館,1FwqaXHURH4cfO8yFV8hj1,https://open.spotify.com/playlist/1FwqaXHURH4cfO8yFV8hj1
快樂 爵士,爵士。早午餐。咖啡,3VZTAD5M7zsj0s5L6alC8d,https://open.spotify.com/playlist/3VZTAD5M7zsj0s5L6alC8d
快樂 藍調,開心的早晨🎶我們來聽音樂吧 ,5d0vAuL3LI6NYLACUJElRR,https://open.spotify.com/playlist/5d0vAuL3LI6NYLACUJElRR
快樂 藍調,A-Lin 精選熱門歌曲,3P8O2Uxjczf4ZeljKM61ib,https://open.spotify.com/playlist/3P8O2Uxjczf4ZeljKM61ib
快樂 藍調,五月天熱門歌曲！,5rGKfMmuKH5UmEN0RguDP8,https://open.spotify.com/playlist/5rGKfMmuKH5UmEN0RguDP8
快樂 藍調,煙嗓情歌,6Pn95eEinvhyvbYZenRJF1,https://open.spotify.com/playlist/6Pn95eEinvhyvbYZenRJF1
快樂 藍調,愛唱歌親子演唱會《米卡勇闖魔法夢奇地》,5J34xnU4i8pEGKBhAzPXAl,https://open.spotify.com/playlist/5J34xnU4i8pEGKBhAzPXAl
快樂 舞曲,最好聽粵語廣東歌曲 Best Cantonese Songs,2v0mxzm6LCcmBVqRPwzvdM,https://open.spotify.com/playlist/2v0mxzm6LCcmBVqRPwzvdM
快樂 舞曲,Bossa Nova｜慵懒风情,16r2jV9fIrAywM18J6gxo1,https://open.spotify.com/playlist/16r2jV9fIrAywM18J6gxo1
快樂 舞曲,蔡依林 Jolin Tsai | 必聽精選 TOP HITS,69DqmbZT0k1FmJLfjKVteL,https://open.spotify.com/playlist/69DqmbZT0k1FmJLfjKVteL
快樂 舞曲,樂齡輕快舞曲,3zWjmKbYpG3Foq8OFN7q3i,https://open.spotify.com/playlist/3zWjmKbYpG3Foq8OFN7q3i
快樂 舞曲,快樂舞曲,3xr9OTJb1vyloMdGnEZK5A,https://open.spotify.com/playlist/3xr9OTJb1vyloMdGnEZK5A
