搜尋關鍵字,播放清單名稱,播放清單ID,播放清單連結
快樂 鄉村,⛺️凹豆咖快看！ 露營放鬆的⚡️鄉村搖滾樂 (2),3v7gEvpa38mxy5vFgT3U5o,https://open.spotify.com/playlist/3v7gEvpa38mxy5vFgT3U5o
快樂 靈魂,爵士小酒館,6LX7rhdp7WRa2g9NqW2cL0,https://open.spotify.com/playlist/6LX7rhdp7WRa2g9NqW2cL0
快樂 靈魂,夏日音樂廳,1jX4jCqJKBu9YUTIX9GQS6,https://open.spotify.com/playlist/1jX4jCqJKBu9YUTIX9GQS6
快樂 靈魂,靈魂男聲 山姆史密斯 Sam Smith 生日快樂！,2x890ZgnQiSzoB0DdoGMPw,https://open.spotify.com/playlist/2x890ZgnQiSzoB0DdoGMPw
快樂 靈魂,Hip Hop Luv(嘻哈寶典談戀愛),7xaxlv2xZDEUlsBpulbXgT,https://open.spotify.com/playlist/7xaxlv2xZDEUlsBpulbXgT
快樂 靈魂,台灣FM電台 JAMZ 95 | Taiwan's No.1 R&B Station,4VwOjOYalPMIhseFKm3RBu,https://open.spotify.com/playlist/4VwOjOYalPMIhseFKm3RBu
快樂 吉他,滾石40撞樂隊 翻唱與原唱 完整合輯,7qYhwZkhGucu2AXQ9d1x85,https://open.spotify.com/playlist/7qYhwZkhGucu2AXQ9d1x85
快樂 吉他,Taiwanese Bands,1ZbgXWRpYTcbfsZbGbpVfF,https://open.spotify.com/playlist/1ZbgXWRpYTcbfsZbGbpVfF
快樂 吉他,Mavis Hee - Greatest Hits 許美靜/许美静 精选,4vRoOXqLSDHPSipESKK7lQ,https://open.spotify.com/playlist/4vRoOXqLSDHPSipESKK7lQ
快樂 環境音樂,寶寶睡眠鋼琴 輕柔旋律入夢鄉 Babe Sleep Piano Lullaby with Soothing Melody,6uY9t0E69Okxx61WRbEmcA,https://open.spotify.com/playlist/6uY9t0E69Okxx61WRbEmcA
快樂 獨立音樂,高端渣女 開車必聽,6yUSUcAefbcLvz9QgWGTBO,https://open.spotify.com/playlist/6yUSUcAefbcLvz9QgWGTBO
愛情 流行,最爱情歌90-世纪情歌超级精选,6L7BR3CxcV86PdvVwP7y2X,https://open.spotify.com/playlist/6L7BR3CxcV86PdvVwP7y2X
愛情 流行,想了不只幾百次,6Ghk1fISS5F5B7eDxqEW2I,https://open.spotify.com/playlist/6Ghk1fISS5F5B7eDxqEW2I
愛情 流行,2000-2010 千鿋年廣東歌 ,52HvTgEGMTqfbvAlx5wGPW,https://open.spotify.com/playlist/52HvTgEGMTqfbvAlx5wGPW
愛情 流行,流行愛情 Pop Love,5OSPQacC8XLcBJIvopbFZB,https://open.spotify.com/playlist/5OSPQacC8XLcBJIvopbFZB
愛情 流行,愛情這回事 (Always Need Love Songs),4DLRAu2yCzIwYENMH0getS,https://open.spotify.com/playlist/4DLRAu2yCzIwYENMH0getS
愛情 嘻哈,嘻哈愛情,0V6lpoJxUnBN6vHNugZ67r,https://open.spotify.com/playlist/0V6lpoJxUnBN6vHNugZ67r
愛情 嘻哈,Hip Hop Luv(嘻哈寶典談戀愛),7xaxlv2xZDEUlsBpulbXgT,https://open.spotify.com/playlist/7xaxlv2xZDEUlsBpulbXgT
愛情 嘻哈,想了不只幾百次,6Ghk1fISS5F5B7eDxqEW2I,https://open.spotify.com/playlist/6Ghk1fISS5F5B7eDxqEW2I
愛情 電子,陪我做個80年代的神通情人夢（Electric Dreams 1984）,4vorqZAIXJPgsWpgJ0pKpU,https://open.spotify.com/playlist/4vorqZAIXJPgsWpgJ0pKpU
愛情 電子,Hip Hop Luv(嘻哈寶典談戀愛),7xaxlv2xZDEUlsBpulbXgT,https://open.spotify.com/playlist/7xaxlv2xZDEUlsBpulbXgT
愛情 電子,2000-2010 千鿋年廣東歌 ,52HvTgEGMTqfbvAlx5wGPW,https://open.spotify.com/playlist/52HvTgEGMTqfbvAlx5wGPW
愛情 民謠,原創歌曲 Original Song | Jesse T,0ISaaqWJP0LI3lGTJokbNT,https://open.spotify.com/playlist/0ISaaqWJP0LI3lGTJokbNT
愛情 藍調,日劇超經典 – Japanese Drama Songs Collection ,4hrEEgXVAZG3A624BMFqLK,https://open.spotify.com/playlist/4hrEEgXVAZG3A624BMFqLK
愛情 藍調,蔡健雅 _情歌精選,6ATgi9h7pxWWr4x67qpepy,https://open.spotify.com/playlist/6ATgi9h7pxWWr4x67qpepy
愛情 藍調,孫燕姿AUT NIHILO 就在日落以後巡迴演唱會 STEFANIE SUN YANZI 孙燕姿就在日落以后,3ngRXxtvapmagiVu9xBJ0J,https://open.spotify.com/playlist/3ngRXxtvapmagiVu9xBJ0J
愛情 藍調,1990-2010s華語金曲,0mVSZP3JXs0TcyAZXrnV3w,https://open.spotify.com/playlist/0mVSZP3JXs0TcyAZXrnV3w
愛情 藍調,2000-2010華語歌壇聖經,4ovp1QwDvaZgYTo3Eik8Ug,https://open.spotify.com/playlist/4ovp1QwDvaZgYTo3Eik8Ug
愛情 R&B,日劇超經典 – Japanese Drama Songs Collection ,4hrEEgXVAZG3A624BMFqLK,https://open.spotify.com/playlist/4hrEEgXVAZG3A624BMFqLK
愛情 R&B,英文抒情R&B,5PbJPOYZclXdzcvD22jq4P,https://open.spotify.com/playlist/5PbJPOYZclXdzcvD22jq4P
愛情 R&B,梁文音｜情歌精選,1OgmKEXNAubFBdl226XSGB,https://open.spotify.com/playlist/1OgmKEXNAubFBdl226XSGB
愛情 舞曲,蕭亞軒 ELVA HSIAO | 必聽精選TOP HITS,0AL0LT0QQI8sisLr2XWcPQ,https://open.spotify.com/playlist/0AL0LT0QQI8sisLr2XWcPQ
愛情 舞曲,愛情少尉舞曲集,74Pym2RCD9JiTUj9DSbvtp,https://open.spotify.com/playlist/74Pym2RCD9JiTUj9DSbvtp
愛情 鄉村,2023臺北眷村文化節-家,5Z8bcHym8IfnJq2E7cFTAI,https://open.spotify.com/playlist/5Z8bcHym8IfnJq2E7cFTAI
愛情 靈魂,祕密花園OST,5D1IwaVMu2Oyq8Le7Y2ypH,https://open.spotify.com/playlist/5D1IwaVMu2Oyq8Le7Y2ypH
愛情 靈魂,時代少年團     TF3代   T.O.P登陸少年組合（all ）（我把ㄧ些無法播放的音檔刪了所以現在變成只有67小時多而已）,6GCNanmztNGOwj89tzakvI,https://open.spotify.com/playlist/6GCNanmztNGOwj89tzakvI
愛情 靈魂,純真博物館,7wkdyAcnlFnQhonLNfPIcd,https://open.spotify.com/playlist/7wkdyAcnlFnQhonLNfPIcd
愛情 靈魂,Hip Hop Luv(嘻哈寶典談戀愛),7xaxlv2xZDEUlsBpulbXgT,https://open.spotify.com/playlist/7xaxlv2xZDEUlsBpulbXgT
愛情 靈魂,林夕：哥哥字傳,1qXorycOWULwQg2y1W4Okt,https://open.spotify.com/playlist/1qXorycOWULwQg2y1W4Okt
愛情 鋼琴,[KKBOX]ㄧ個人的孤單，靜靜地聽歌就沒事了。 / 2024-12-27,7qQtpaVDfT7HupuUHC3VZT,https://open.spotify.com/playlist/7qQtpaVDfT7HupuUHC3VZT
愛情 吉他,《長風渡》影視劇原聲帶,2llriPca86S0pMPql7AmWt,https://open.spotify.com/playlist/2llriPca86S0pMPql7AmWt
愛情 吉他,情歌大全：致美好的愛情,3XyIb5ar6gxJpu2WXZCGtR,https://open.spotify.com/playlist/3XyIb5ar6gxJpu2WXZCGtR
愛情 獨立音樂,原創歌曲 Original Song | Jesse T,0ISaaqWJP0LI3lGTJokbNT,https://open.spotify.com/playlist/0ISaaqWJP0LI3lGTJokbNT
能量 搖滾,最好聽台灣流行歌曲 Best Taiwanese Pop Songs,5spbrkAK53L4VurFt5ir8U,https://open.spotify.com/playlist/5spbrkAK53L4VurFt5ir8U
能量 搖滾,日本搖滾,30SKPprnYtlMM34xBns2eT,https://open.spotify.com/playlist/30SKPprnYtlMM34xBns2eT
能量 搖滾,俺のロックだ🎸,3Ve5dp3ysGaXtV3SAC2v1G,https://open.spotify.com/playlist/3Ve5dp3ysGaXtV3SAC2v1G
能量 搖滾,台灣獨立樂團,0Ol0bu38sE7QozcRFnvfbM,https://open.spotify.com/playlist/0Ol0bu38sE7QozcRFnvfbM
能量 搖滾,椎名林檎代表作,1skI0L4Rf6BsRA9dj9JOty,https://open.spotify.com/playlist/1skI0L4Rf6BsRA9dj9JOty
能量 嘻哈,大嘻哈時代2,2OiljIZqhGn82aNTkBQdQB,https://open.spotify.com/playlist/2OiljIZqhGn82aNTkBQdQB
能量 嘻哈,K-HIPHOP (korean rap),1tdi78egHydNAeNwCggJ0Q,https://open.spotify.com/playlist/1tdi78egHydNAeNwCggJ0Q
能量 嘻哈,Xmaswu 吳驁💫,604otD5GntdWwaLzgshOXO,https://open.spotify.com/playlist/604otD5GntdWwaLzgshOXO
能量 嘻哈,HipHop 🤬🔫,5h2ed3V8Te3tr9AToUVWVR,https://open.spotify.com/playlist/5h2ed3V8Te3tr9AToUVWVR
能量 嘻哈,中文嘻哈能量,5R6TyjvfhshwxZZ0jPpSHM,https://open.spotify.com/playlist/5R6TyjvfhshwxZZ0jPpSHM
能量 電子,陪讀電子音 (2),6y2w8MQfLayEiPDdPclRyM,https://open.spotify.com/playlist/6y2w8MQfLayEiPDdPclRyM
能量 電子,Hip Hop Luv(嘻哈寶典談戀愛),7xaxlv2xZDEUlsBpulbXgT,https://open.spotify.com/playlist/7xaxlv2xZDEUlsBpulbXgT
能量 電子,椎名林檎代表作,1skI0L4Rf6BsRA9dj9JOty,https://open.spotify.com/playlist/1skI0L4Rf6BsRA9dj9JOty
能量 電子,ELECTRONIC CONCENTRATION,5VeVE7roTxELWqSHBdkvCt,https://open.spotify.com/playlist/5VeVE7roTxELWqSHBdkvCt
能量 電子,TOOL,63XLJFvCoCn1lAPdrc8N23,https://open.spotify.com/playlist/63XLJFvCoCn1lAPdrc8N23
能量 民謠,"NO, THIS is 鳳飛飛（不，這才是鳳飛飛）—歌林篇",0aVhWL97eZdCLyye9iYdYW,https://open.spotify.com/playlist/0aVhWL97eZdCLyye9iYdYW
能量 民謠,原創歌曲 Original Song | Jesse T,0ISaaqWJP0LI3lGTJokbNT,https://open.spotify.com/playlist/0ISaaqWJP0LI3lGTJokbNT
能量 古典,卡拉揚-指揮帝王 Karajan Forever,2ObOcGxN0rpRlKQxnOg7wK,https://open.spotify.com/playlist/2ObOcGxN0rpRlKQxnOg7wK
能量 古典,DG古典．百年經典,69mMioQK1XQn8eBGaqH91Q,https://open.spotify.com/playlist/69mMioQK1XQn8eBGaqH91Q
能量 古典,是春天了呀～,2FxGfX5DGnWAUBDgHylunF,https://open.spotify.com/playlist/2FxGfX5DGnWAUBDgHylunF
能量 古典,周傑倫中國風歌曲全收錄,4EeiP53GRGAzgsbRN3ZqUt,https://open.spotify.com/playlist/4EeiP53GRGAzgsbRN3ZqUt
能量 古典,Lucky Dube - THE GREATEST HITS,3PTCX5YO7A2drkv2FEwoYP,https://open.spotify.com/playlist/3PTCX5YO7A2drkv2FEwoYP
能量 爵士,中文爵士流行歌曲 2024 Chinese Pop Jazz,2kjlC6o0e1pc32QPbulYem,https://open.spotify.com/playlist/2kjlC6o0e1pc32QPbulYem
能量 爵士,第1章 現在聽爵士樂正合時,2YlnVWsvsHKXKxOs2Ki3iy,https://open.spotify.com/playlist/2YlnVWsvsHKXKxOs2Ki3iy
能量 爵士,第4章 10種爵士樂風格,3q6xBcEWc230hvuAZOGZG0,https://open.spotify.com/playlist/3q6xBcEWc230hvuAZOGZG0
能量 爵士,Jazz Diva爵美女聲,1oCBvTaeEnauDHam67nNZ8,https://open.spotify.com/playlist/1oCBvTaeEnauDHam67nNZ8
能量 爵士,Nathanology presents: Aroma Deep House 002,63QL4cUqNYykTELZaf5z4d,https://open.spotify.com/playlist/63QL4cUqNYykTELZaf5z4d
能量 藍調,1990-2010s華語金曲,0mVSZP3JXs0TcyAZXrnV3w,https://open.spotify.com/playlist/0mVSZP3JXs0TcyAZXrnV3w
能量 藍調,2000-2010華語歌壇聖經,4ovp1QwDvaZgYTo3Eik8Ug,https://open.spotify.com/playlist/4ovp1QwDvaZgYTo3Eik8Ug
能量 藍調,最爱情歌90-世纪情歌超级精选,6L7BR3CxcV86PdvVwP7y2X,https://open.spotify.com/playlist/6L7BR3CxcV86PdvVwP7y2X
能量 藍調,頌缽、梵文大休息曲,2Fu7GvPjfdC4DC4GFoVCiY,https://open.spotify.com/playlist/2Fu7GvPjfdC4DC4GFoVCiY
能量 藍調,卡拉揚-指揮帝王 Karajan Forever,2ObOcGxN0rpRlKQxnOg7wK,https://open.spotify.com/playlist/2ObOcGxN0rpRlKQxnOg7wK
能量 舞曲,最好聽粵語廣東歌曲 Best Cantonese Songs,2v0mxzm6LCcmBVqRPwzvdM,https://open.spotify.com/playlist/2v0mxzm6LCcmBVqRPwzvdM
能量 舞曲, 粵語 勁歌 舞曲 女版 I (電音女王篇) CantoDance  Part 1  1980s-1990s Female,2RcOZ5MV1sdPUPp75XaM9O,https://open.spotify.com/playlist/2RcOZ5MV1sdPUPp75XaM9O
能量 舞曲,高能量舞曲,5sf0CYYcYcfROyDapXexwx,https://open.spotify.com/playlist/5sf0CYYcYcfROyDapXexwx
能量 舞曲,华语流行音乐精选,5nHvSjxPVmYxEzpMuwKc9A,https://open.spotify.com/playlist/5nHvSjxPVmYxEzpMuwKc9A
能量 舞曲,最好聽粵語廣東歌曲 Best Cantonese Songs,0QK2mExc8G8GP6SG1yZIJ3,https://open.spotify.com/playlist/0QK2mExc8G8GP6SG1yZIJ3
能量 重金屬,重金屬搖滾樂,6pv6JND6VMzDXIe3LgdpLi,https://open.spotify.com/playlist/6pv6JND6VMzDXIe3LgdpLi
能量 重金屬,重金屬 嘶吼,3TwwiXiA9NkxG0X9a9OjOr,https://open.spotify.com/playlist/3TwwiXiA9NkxG0X9a9OjOr
能量 重金屬,節奏感很強的好歌,2oDbPjwHAkarjO0ohfKPJl,https://open.spotify.com/playlist/2oDbPjwHAkarjO0ohfKPJl
能量 鄉村,2023臺北眷村文化節-家,5Z8bcHym8IfnJq2E7cFTAI,https://open.spotify.com/playlist/5Z8bcHym8IfnJq2E7cFTAI
能量 靈魂,夏日音樂廳,1jX4jCqJKBu9YUTIX9GQS6,https://open.spotify.com/playlist/1jX4jCqJKBu9YUTIX9GQS6
能量 靈魂,心靈安定劑,01GUkb3lNrOddMBHqI3AlL,https://open.spotify.com/playlist/01GUkb3lNrOddMBHqI3AlL
能量 靈魂,Jazz Diva爵美女聲,1oCBvTaeEnauDHam67nNZ8,https://open.spotify.com/playlist/1oCBvTaeEnauDHam67nNZ8
能量 靈魂,編輯情境題：望著天花板的凌晨三點半,5Cz6Dhymou9sGPDSj2WyiY,https://open.spotify.com/playlist/5Cz6Dhymou9sGPDSj2WyiY
能量 靈魂,Hip Hop Luv(嘻哈寶典談戀愛),7xaxlv2xZDEUlsBpulbXgT,https://open.spotify.com/playlist/7xaxlv2xZDEUlsBpulbXgT
能量 吉他,周杰倫《嘉年華》2025世界巡迴演唱會 歌單 搶先聽 Jay Chou Carnival World Tour 2025 Setlist,169JaKqanGg3T3wTvnsEZp,https://open.spotify.com/playlist/169JaKqanGg3T3wTvnsEZp
能量 吉他,動畫歌曲*咒迴，鬼滅，火影，迪士尼，吉卜力，巨人，獵人，伍六七，天官，肌肉魔法使，我推の子，怪獸8號，hazbin...*,23RPjb4FHhD0d5lg30b0mB,https://open.spotify.com/playlist/23RPjb4FHhD0d5lg30b0mB
能量 吉他,轻柔吉他,4BVtb4tbsCYSt9wKIIbeFb,https://open.spotify.com/playlist/4BVtb4tbsCYSt9wKIIbeFb
能量 環境音樂,天使靈氣+冥想音樂,4IVP0wFUHWtCZaf8EyHQYI,https://open.spotify.com/playlist/4IVP0wFUHWtCZaf8EyHQYI
能量 環境音樂,自律神經放鬆,4vXHk9lbqms8hZ0DMeU3bv,https://open.spotify.com/playlist/4vXHk9lbqms8hZ0DMeU3bv
能量 獨立音樂,人選之人—造浪者 (Netflix 臺灣原創影集 影集原聲帶),1XRzoq5jp1kB9hguPQckIk,https://open.spotify.com/playlist/1XRzoq5jp1kB9hguPQckIk
能量 獨立音樂,獨立樂團不用滑,3jH7xQn0Ygl0E24RsMV5ay,https://open.spotify.com/playlist/3jH7xQn0Ygl0E24RsMV5ay
能量 獨立音樂,「失序場」不藏私音樂清單,4bvtIuKDYlaUUEsfPxQ128,https://open.spotify.com/playlist/4bvtIuKDYlaUUEsfPxQ128
能量 獨立音樂,獨立樂團 - 2024,7Ag2hD5Yb0RIWUU6WLciLG,https://open.spotify.com/playlist/7Ag2hD5Yb0RIWUU6WLciLG
能量 獨立音樂,赤瞳音樂精選 I RUBY EYES  RECORDS,5H73dInL6TjzPACLlSKXG5,https://open.spotify.com/playlist/5H73dInL6TjzPACLlSKXG5
懷舊 流行,經典華語歌曲,2ZLBP5PQNGRHXjq2G8TAkt,https://open.spotify.com/playlist/2ZLBP5PQNGRHXjq2G8TAkt
懷舊 流行,台語懷舊老歌,3V5Ei9rjEJeZdX5avf7H71,https://open.spotify.com/playlist/3V5Ei9rjEJeZdX5avf7H71
懷舊 流行,流行英語歌曲,1JfWYb3V7o4LxcAqprGilO,https://open.spotify.com/playlist/1JfWYb3V7o4LxcAqprGilO
懷舊 流行,永遠懷念黃鴻升,6sEa206vPoBgba15LsVa0z,https://open.spotify.com/playlist/6sEa206vPoBgba15LsVa0z
懷舊 流行,復古港風,2fD3aLiqE5TyJYyl0yZJCG,https://open.spotify.com/playlist/2fD3aLiqE5TyJYyl0yZJCG
懷舊 搖滾,經典華語歌曲,2ZLBP5PQNGRHXjq2G8TAkt,https://open.spotify.com/playlist/2ZLBP5PQNGRHXjq2G8TAkt
懷舊 搖滾,流行英語歌曲,1JfWYb3V7o4LxcAqprGilO,https://open.spotify.com/playlist/1JfWYb3V7o4LxcAqprGilO
懷舊 爵士,懷舊爵士,04VYgwrDI5BLnjO9xp2k2B,https://open.spotify.com/playlist/04VYgwrDI5BLnjO9xp2k2B
懷舊 爵士,Retro Chinese City Pop: 復古風中文城市流行 中文citypop,1rgJawBh8VlriQFKXxYoRC,https://open.spotify.com/playlist/1rgJawBh8VlriQFKXxYoRC
懷舊 藍調,愛情長跑懷舊歌,6M6mtlaOyues3GAqSx9bIL,https://open.spotify.com/playlist/6M6mtlaOyues3GAqSx9bIL
懷舊 R&B,懷舊抒情英文老歌,5n1MGo9C6R0uPqlkubNEQl,https://open.spotify.com/playlist/5n1MGo9C6R0uPqlkubNEQl
懷舊 R&B,英文抒情R&B,5PbJPOYZclXdzcvD22jq4P,https://open.spotify.com/playlist/5PbJPOYZclXdzcvD22jq4P
懷舊 R&B,台語懷舊老歌 2022年 回憶藏歌,1VdC5KB7Wt2i9QbkqhdOwf,https://open.spotify.com/playlist/1VdC5KB7Wt2i9QbkqhdOwf
懷舊 R&B,爵士 + R&B + 慵懶,3GFV7znhfN7NPiy5laYiLE,https://open.spotify.com/playlist/3GFV7znhfN7NPiy5laYiLE
懷舊 R&B,70、80民歌、國語懷舊歌曲,2MtHCpHxcqh7v5FJAVVYsp,https://open.spotify.com/playlist/2MtHCpHxcqh7v5FJAVVYsp
懷舊 舞曲,80年代 夜店舞曲 1980s Club Music,5cQQ13Xm18JY6ocDvjZrCI,https://open.spotify.com/playlist/5cQQ13Xm18JY6ocDvjZrCI
懷舊 舞曲,懷舊國語舞曲,6Rph46ecdeAX7Ch2nLbgzZ,https://open.spotify.com/playlist/6Rph46ecdeAX7Ch2nLbgzZ
懷舊 舞曲,懷舊英文舞曲,7vPKGNUPxPUCFyhY5HGLFu,https://open.spotify.com/playlist/7vPKGNUPxPUCFyhY5HGLFu
懷舊 舞曲,懷舊、舞曲、夜店,0gtlWNYKxxSLZzWCaCMJm0,https://open.spotify.com/playlist/0gtlWNYKxxSLZzWCaCMJm0
懷舊 舞曲,懷舊英文舞曲,4T61IyNlnw9vYRChljKiKg,https://open.spotify.com/playlist/4T61IyNlnw9vYRChljKiKg
懷舊 重金屬,六、七年級懷舊金曲老歌,5Hcj4KAeXKWIi55g2r7BYI,https://open.spotify.com/playlist/5Hcj4KAeXKWIi55g2r7BYI
懷舊 重金屬,重金屬搖滾樂,6pv6JND6VMzDXIe3LgdpLi,https://open.spotify.com/playlist/6pv6JND6VMzDXIe3LgdpLi
懷舊 重金屬,經典台語老歌,2zPHNItB7j50yB5ZltWLaS,https://open.spotify.com/playlist/2zPHNItB7j50yB5ZltWLaS
懷舊 重金屬,KTV嗨歌-high起來,3TWpD2hjdPpOv4dxEaaaGc,https://open.spotify.com/playlist/3TWpD2hjdPpOv4dxEaaaGc
懷舊 重金屬,重金屬 嘶吼,3TwwiXiA9NkxG0X9a9OjOr,https://open.spotify.com/playlist/3TwwiXiA9NkxG0X9a9OjOr
懷舊 環境音樂,咖啡廳音樂,3INRTaUTylsbHfY1VSnWUV,https://open.spotify.com/playlist/3INRTaUTylsbHfY1VSnWUV
懷舊 環境音樂,六、七年級懷舊金曲老歌,5Hcj4KAeXKWIi55g2r7BYI,https://open.spotify.com/playlist/5Hcj4KAeXKWIi55g2r7BYI
懷舊 環境音樂,懷舊抒情英文老歌,5n1MGo9C6R0uPqlkubNEQl,https://open.spotify.com/playlist/5n1MGo9C6R0uPqlkubNEQl
懷舊 環境音樂,深層放鬆。背景樂,6sfrdN93uthtKFWor970oF,https://open.spotify.com/playlist/6sfrdN93uthtKFWor970oF
懷舊 環境音樂,經典台語老歌,2zPHNItB7j50yB5ZltWLaS,https://open.spotify.com/playlist/2zPHNItB7j50yB5ZltWLaS
學習 流行,英文流行钢琴曲 2025 Popular Piano Music,7jy5NbqWWN0bi8O8E5L1K7,https://open.spotify.com/playlist/7jy5NbqWWN0bi8O8E5L1K7
學習 流行,英文流行鋼琴曲 Pop Piano Covers,6T8XHJ2tqT6yyln63gUEMA,https://open.spotify.com/playlist/6T8XHJ2tqT6yyln63gUEMA
學習 流行,治愈中英文流行鋼琴音樂 Soothing Piano Cover Mandarin & English Pop Songs 🎹,5MEfvlwXt4IHykG1twWwRO,https://open.spotify.com/playlist/5MEfvlwXt4IHykG1twWwRO
學習 流行,TikTokで流行ったボカロ曲,2AfB5iluxG8LNPF6i7NMj8,https://open.spotify.com/playlist/2AfB5iluxG8LNPF6i7NMj8
學習 流行,香港流行音樂鋼琴曲 Cantopop Hong Kong Pop Piano Instrumental,5p8zN53JcGob18nPLJLLVz,https://open.spotify.com/playlist/5p8zN53JcGob18nPLJLLVz
學習 搖滾,HappyRuff 狗-放鬆軟搖,2heLW56kYWyjpKAEupQ2yl,https://open.spotify.com/playlist/2heLW56kYWyjpKAEupQ2yl
學習 電子,歌詞なしEDM（勉強用）,0p6lAi6oXLGgfDbY0t3T11,https://open.spotify.com/playlist/0p6lAi6oXLGgfDbY0t3T11
學習 古典,古典 - 學習,5RC1r3ZdXIT9hL8JglSvmB,https://open.spotify.com/playlist/5RC1r3ZdXIT9hL8JglSvmB
學習 古典,我的古典學習地圖,4NDKGw5fwKhwStLsNgG51g,https://open.spotify.com/playlist/4NDKGw5fwKhwStLsNgG51g
學習 古典,古典學習,1o6wdwivJu7STjQRWUrYeJ,https://open.spotify.com/playlist/1o6wdwivJu7STjQRWUrYeJ
學習 古典,古典反派的學習時間,1doktcevu4dc4Y9lhxFoyu,https://open.spotify.com/playlist/1doktcevu4dc4Y9lhxFoyu
學習 爵士,For Swing Beginner,5BFTnu7VmZkcw4UeEVAkoB,https://open.spotify.com/playlist/5BFTnu7VmZkcw4UeEVAkoB
學習 爵士,爵士BGM專注學習指南,3ZaHzdMCr2FtUhOGeigDnE,https://open.spotify.com/playlist/3ZaHzdMCr2FtUhOGeigDnE
學習 藍調,跟著🅐🅛🅘好好玩《創意鍵盤》圈圈Ｉ,1lcx7AtT4Cjg0SHpPs77k5,https://open.spotify.com/playlist/1lcx7AtT4Cjg0SHpPs77k5
學習 藍調,跟著🅐🅛🅘好好玩《創意鍵盤》疊疊Ｉ,1Cpzgf88OfgczGXQg4F8rK,https://open.spotify.com/playlist/1Cpzgf88OfgczGXQg4F8rK
學習 藍調,二十首你該學習與聽熟「帶有藍調旋律」的Jazz Standard,4MP7R8JxiyiEPxfJBL1Jpc,https://open.spotify.com/playlist/4MP7R8JxiyiEPxfJBL1Jpc
學習 藍調,超・乃木坂スター誕生！LIVE2024予習用,5kQ6h7NPxVg7jYBiXQQHGJ,https://open.spotify.com/playlist/5kQ6h7NPxVg7jYBiXQQHGJ
